date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2002-04-01,SGP,SGD,Singapore,3.3,1.82,1.81318681318681,-0.22843,-0.23697,-0.37162,-0.10033,0.42983,27687.220030303,2.28630825504168,-0.16866,-0.27861,-0.3964,-0.02761,0.12682
2002-04-01,SWE,SEK,Sweden,26,10.4,2.5,0.06383,0.05206,-0.1336,0.24046,0.97143,25400.7758980769,2.2432890390545,0.16823,0.01372,-0.1518,0.36644,0.58344
2002-04-01,THA,THB,Thailand,55,43.3,1.270207852194,-0.45949,-0.46547,-0.5598,-0.36974,0.00165,3594.27488090909,1.83300191943488,-0.27358,-0.36966,-0.47258,-0.15034,-0.0154
2002-04-01,TUR,TRY,Turkey,4e+06,1324500,3.02000755001888,0.28511,0.27089,0.04661,0.49848,1.38149,0.002214358,1.7653760413389,0.79326,0.55609,0.30201,1.09751,1.43062
2002-04-01,TWN,TWD,Taiwan,70,34.8,2.01149425287356,-0.14404,-0.15352,-0.3029,-0.00193,0.58621,15162.4670942857,2.05065629042708,0.02825,-0.10774,-0.25343,0.20271,0.39371
2002-04-01,USA,USD,United States,2.35,1,2.35,0,-0.01107,-0.18558,0.16603,0.85314,37101.453,2.46343609987677,0,-0.13226,-0.27394,0.16966,0.35542
2002-04-01,VEN,VEF,Venezuela,2500,857,2.9171528588098,0.24134,0.2276,0.01097,0.44744,1.30038,,,,,,,
2002-04-01,ZAF,ZAR,South Africa,9.7,10.9,0.889908256880734,-0.62132,-0.62551,-0.69159,-0.55844,-0.29824,6177.72385051547,1.88160925151395,-0.50422,-0.56979,-0.64003,-0.4201,-0.32801
2003-04-01,AUS,AUD,Australia,3,1.61,1.86335403726708,-0.24254,-0.37492,-0.40737,-0.14656,0.55844,32720.5051,2.61786441991444,-0.20317,-0.43957,-0.454,-0.09619,0.08761
2003-04-01,BRA,BRL,Brazil,4.55,3.07,1.48208469055375,-0.39753,-0.50282,-0.52863,-0.32118,0.23956,4620.44228571429,1.88615550807171,-0.12034,-0.38132,-0.39725,-0.00224,0.20066
2003-04-01,CAN,CAD,Canada,3.2,1.45,2.20689655172414,-0.10289,-0.25968,-0.29811,0.01079,0.84577,29310.6001875,2.52907252540864,-0.02313,-0.31294,-0.33063,0.10803,0.33335
2003-04-01,CHE,CHF,Switzerland,6.3,1.37,4.5985401459854,0.86933,0.54262,0.46255,1.1062,2.84605,25960.4565333333,2.44183677850273,1.10824,0.48278,0.44459,1.39129,1.87757
2003-04-01,CHL,CLP,Chile,1400,716,1.95530726256983,-0.20516,-0.34408,-0.37812,-0.10444,0.63535,5423.0325096,1.90705447983758,0.14781,-0.19272,-0.21351,0.30191,0.56666
2003-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.51396,-0.59891,-0.61973,-0.45237,0,2346.99406060606,1.82695626933979,-0.26735,-0.48471,-0.49798,-0.16899,0
2003-04-01,CZE,CZK,Czech Republic,56.57,28.9,1.95743944636678,-0.20429,-0.34336,-0.37744,-0.10346,0.63713,11471.2098667138,2.06454541862494,0.06141,-0.25349,-0.27271,0.20391,0.44873
2003-04-01,DNK,DKK,Denmark,27.75,6.78,4.0929203539823,0.66379,0.373,0.30174,0.87462,2.42317,23288.0892691892,2.37224992541225,0.93148,0.35846,0.32347,1.1908,1.63631
2003-04-01,EGY,EGP,Egypt,8,5.92,1.35135135135135,-0.45067,-0.54668,-0.57021,-0.38106,0.13022,1839.47853,1.81374086697229,-0.16591,-0.41337,-0.42847,-0.05393,0.13846
2003-04-01,EUZ,EUR,Euro area,2.71,0.909090909,2.9810000002981,0.21179,0,-0.05191,0.36534,1.4932,22322.8281182452,2.34711509951989,0.42182,0,-0.02575,0.61271,0.94067
2003-04-01,GBR,GBP,Britain,1.99,0.632911392,3.14420000201229,0.27813,0.05475,0,0.44009,1.62969,24809.3880301508,2.41186363974192,0.4594,0.02643,0,0.65534,0.99196
2003-04-01,HKG,HKD,Hong Kong,11.5,7.8,1.47435897435897,-0.40067,-0.50541,-0.53109,-0.32472,0.2331,41261.7008608696,2.84027207420781,-0.41889,-0.59129,-0.60181,-0.34087,-0.20683
2003-04-01,HUN,HUF,Hungary,490,224,2.1875,-0.11077,-0.26619,-0.30427,0.00191,0.82955,8601.97425502041,1.9898322309311,0.23069,-0.13443,-0.15672,0.39592,0.67979
2003-04-01,IDN,IDR,Indonesia,16100,8740,1.84210526315789,-0.25118,-0.38205,-0.41413,-0.15629,0.54067,1426.83995559503,1.80299600407793,0.14377,-0.19556,-0.21628,0.29733,0.56114
2003-04-01,JPN,JPY,Japan,262,120,2.18333333333333,-0.11247,-0.26758,-0.3056,0,0.82606,38653.7031373282,2.77236136564489,-0.11837,-0.37993,-0.39589,0,0.20335
2003-04-01,KOR,KRW,South Korea,3300,1220,2.70491803278689,0.09956,-0.09261,-0.13971,0.23889,1.2623,12278.1448322182,2.08555752487678,0.45194,0.02118,-0.00511,0.64688,0.98178
2003-04-01,MEX,MXN,Mexico,23,10.53,2.18423551756885,-0.1121,-0.26728,-0.30531,0.00041,0.82682,8194.69616869565,1.97922695195604,0.23544,-0.13109,-0.15346,0.40131,0.68627
2003-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,-0.46085,-0.55508,-0.57817,-0.39253,0.10928,8238.52535714286,1.98036823793813,-0.25025,-0.47268,-0.48626,-0.14959,0.02335
2003-04-01,NZL,NZD,New Zealand,3.95,1.78,2.21910112359551,-0.09793,-0.25558,-0.29422,0.01638,0.85598,21071.4744,2.31453059344391,0.07333,-0.2451,-0.26454,0.21743,0.465
2003-04-01,PER,PEN,Peru,7.9,3.46,2.28323699421965,-0.07185,-0.23407,-0.27383,0.04576,0.90962,2188.3854835443,1.8228261963895,0.40224,-0.01377,-0.03917,0.59051,0.91394
2003-04-01,PHL,PHP,Philippines,65,52.5,1.23809523809524,-0.49671,-0.58467,-0.60623,-0.43293,0.0355,2051.22619015385,1.8192546500204,-0.23814,-0.46416,-0.47796,-0.13585,0.03988
2003-04-01,POL,PLN,Poland,6.3,3.89,1.61953727506427,-0.34165,-0.45671,-0.48491,-0.25823,0.35452,8293.20002857143,1.98179193384232,-0.08515,-0.35656,-0.37313,0.03768,0.24869
2003-04-01,RUS,RUB,Russia,41,31.1,1.31832797427653,-0.46409,-0.55776,-0.58071,-0.39619,0.1026,4791.73746,1.89061593246325,-0.21938,-0.45097,-0.46511,-0.11458,0.06548
2003-04-01,SGP,SGD,Singapore,3.3,1.78,1.85393258426966,-0.24637,-0.37808,-0.41036,-0.15087,0.55056,29578.9945272727,2.53606135428058,-0.18163,-0.42442,-0.43924,-0.07175,0.11701
2003-04-01,SWE,SEK,Sweden,30,8.34,3.59712230215827,0.46224,0.20668,0.14405,0.64754,2.0085,23830.51159,2.3863742798218,0.68746,0.18683,0.15627,0.91402,1.30324
2003-04-01,THA,THB,Thailand,59,42.7,1.38173302107728,-0.43832,-0.53649,-0.56055,-0.36715,0.15563,3754.72877084746,1.86361284337671,-0.16999,-0.41623,-0.43126,-0.05855,0.1329
2003-04-01,TUR,TRY,Turkey,3750000,1600500,2.34301780693533,-0.04755,-0.21402,-0.25481,0.07314,0.95961,0.003577369392,1.76584203397512,0.48539,0.04471,0.01781,0.68482,1.02744
2003-04-01,TWN,TWD,Taiwan,70,34.8,2.01149425287356,-0.18232,-0.32523,-0.36025,-0.0787,0.68234,16589.1524691429,2.19781359803247,0.02458,-0.27939,-0.29795,0.16214,0.39846
2003-04-01,USA,USD,United States,2.46,1,2.46,0,-0.17477,-0.21761,0.12672,1.05745,37945.761,2.75392697372287,0,-0.29668,-0.31479,0.13426,0.36492
2003-04-01,VEN,VEF,Venezuela,3700,1598,2.3153942428035,-0.05878,-0.22328,-0.2636,0.06049,0.93651,,,,,,,
2003-04-01,ZAF,ZAR,South Africa,13.95,7.56,1.8452380952381,-0.2499,-0.381,-0.41313,-0.15485,0.54329,5176.30660645161,1.9006298841593,0.08686,-0.23559,-0.25527,0.23278,0.48347
2004-05-01,AUS,AUD,Australia,3.25,1.43,2.27272727272727,-0.07987,-0.30878,-0.32464,-0.01978,0.80944,31833.16012,2.69225012461925,-0.02416,-0.35943,-0.34684,0.03406,0.38535
2004-05-01,BRA,BRL,Brazil,5.4,3.18,1.69811320754717,-0.3125,-0.48354,-0.49539,-0.26761,0.35196,4455.53008333333,2.10290622839573,-0.06654,-0.38726,-0.37521,-0.01086,0.32518
