date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2004-05-01,SGP,SGD,Singapore,3.3,1.71,1.92982456140351,30944.3635878788,2.67311746739184,-0.16546,-0.45219,-0.44142,-0.11567,0.18475
2004-05-01,ZAF,ZAR,South Africa,12.4,6.66,1.86186186186186,6342.73092741936,2.14353101209396,0.00407,-0.3409,-0.32794,0.06397,0.42543
2004-05-01,KOR,KRW,South Korea,3200,1177,2.71877655055225,13495.7139598938,2.29750952974992,0.36793,-0.10206,-0.0844,0.44954,0.94198
2004-05-01,SWE,SEK,Sweden,30,7.61,3.94218134034166,24799.526427,2.54084077765642,0.79352,0.17731,0.20046,0.90052,1.54617
2004-05-01,CHE,CHF,Switzerland,6.3,1.29,4.88372093023256,26143.4303619048,2.56977029347229,1.19687,0.44208,0.47043,1.32793,2.11878
2004-05-01,TWN,TWD,Taiwan,75,33.4,2.24550898203593,15915.587272,2.34960087455274,0.10476,-0.27481,-0.26055,0.17067,0.56837
2004-05-01,THA,THB,Thailand,59,40.8,1.44607843137255,4097.14465186441,2.0951914530025,-0.20216,-0.47628,-0.46598,-0.15456,0.13265
2004-05-01,TUR,TRY,Turkey,3950000,1531000,2.58001306335728,0.00439453583037975,2.00699446153924,0.48602,-0.02454,-0.00537,0.57467,1.10962
2004-05-01,USA,USD,United States,2.47,1,2.47,39405.354,2.85525277452803,0,-0.34358,-0.33067,0.05966,0.41965
2005-06-01,AUS,AUD,Australia,3.25,1.3015,2.49711870918171,35427.0921784615,3.17802549240756,0.02585,-0.38644,-0.31021,0.14138,0.35404
2005-06-01,BRA,BRL,Brazil,5.9,2.4648,2.39370334307043,4796.86106440678,2.23974474471668,0.39532,-0.16546,-0.06177,0.55246,0.84171
2005-06-01,GBR,GBP,Britain,1.88,0.546448087,3.44040000271792,30277.0342021277,3.02026630898211,0.48719,-0.11052,0,0.65467,0.96297
2005-06-01,CAN,CAD,Canada,3.28,1.2494,2.62526012485993,32936.9132012195,3.10174506918938,0.10502,-0.33909,-0.25698,0.22946,0.45853
2005-06-01,CHL,CLP,Chile,1500,592.45,2.53185922862689,6483.14630576,2.29139988800259,0.44259,-0.1372,-0.02999,0.60505,0.90409
2005-06-01,CHN,CNY,China,10.5,8.2764,1.26866753661012,3050.07968571429,2.18623645312237,-0.24238,-0.54687,-0.49057,-0.15705,0
2005-06-01,COL,COP,Colombia,6500,2327.7,2.79245607251794,2949.47711829231,2.18315474434163,0.66995,-0.00121,0.12289,0.85802,1.2042
2005-06-01,CZE,CZK,Czech Republic,56.42,24.5409,2.29901918837532,13810.94824743,2.51586882717445,0.19305,-0.28644,-0.19778,0.3274,0.57472
2005-06-01,DNK,DKK,Denmark,27.75,6.0647,4.57565914224941,25940.5004778378,2.88742741233577,1.06893,0.23742,0.39117,1.30192,1.73081
2005-06-01,EGY,EGP,Egypt,9,5.8,1.55172413793103,2110.8313,2.15746492102606,-0.06098,-0.43838,-0.3686,0.04477,0.23942
2005-06-01,EUZ,EUR,Euro area,2.92,0.814929509,3.58313199823029,23018.7639044067,2.79792729833184,0.67197,0,0.12425,0.86027,1.20686
2005-06-01,HKG,HKD,Hong Kong,12,7.7807,1.54227768709756,41652.91707,3.36873811264452,-0.40228,-0.64251,-0.59809,-0.33497,-0.21106
2005-06-01,HUN,HUF,Hungary,530,203.643,2.6025937547571,10157.3756193962,2.40395074061449,0.41346,-0.15462,-0.04958,0.57264,0.86565
2005-06-01,IDN,IDR,Indonesia,14600,9545,1.5295966474594,2021.45367326712,2.15472706031173,-0.0732,-0.44568,-0.37681,0.03118,0.2233
2005-06-01,JPN,JPY,Japan,250,106.715,2.34268846928735,42771.6932544,3.40300903116579,-0.10122,-0.46244,-0.39565,0,0.18632
2005-06-01,MYS,MYR,Malaysia,5.25,3.8,1.38157894736842,9794.42500571429,2.39283265365287,-0.24618,-0.54914,-0.49313,-0.16129,-0.00502
2005-06-01,MEX,MXN,Mexico,28,10.8675,2.57648953301127,8118.20846571429,2.34148593992464,0.43661,-0.14077,-0.03401,0.5984,0.89621
2005-06-01,NZL,NZD,New Zealand,4.45,1.4023,3.17335805462455,21696.5871101124,2.75742570934576,0.50251,-0.10135,0.0103,0.67172,0.98319
2005-06-01,NOR,NOK,Norway,39,6.4326,6.06286726984423,25719.9431292308,2.8806711879642,1.74781,0.64346,0.84765,2.05726,2.62688
2005-06-01,PAK,PKR,Pakistan,130,59.62,2.18047635021805,1011.39885876923,2.12378654983935,0.34043,-0.1983,-0.09868,0.49138,0.76925
2005-06-01,PER,PEN,Peru,8.99,3.2546,2.76224420819763,2355.97047830923,2.16497414845094,0.66576,-0.00372,0.12007,0.85335,1.19866
2005-06-01,PHL,PHP,Philippines,80,54.55,1.46654445462878,2055.00782925,2.1557549082064,-0.11182,-0.46879,-0.40278,-0.0118,0.17232
2005-06-01,POL,PLN,Poland,6.5,3.3096,1.96398356296833,9697.81752,2.38987332423773,0.07292,-0.35829,-0.27856,0.19374,0.41616
2005-06-01,RUS,RUB,Russia,42,28.4055,1.47858689338332,7779.02225428571,2.33109581616486,-0.17189,-0.50471,-0.44317,-0.07863,0.09304
2005-06-01,SAU,SAR,Saudi Arabia,9,3.7501,2.39993600170662,13858.15352,2.51731484298403,0.2447,-0.25555,-0.16305,0.38488,0.6429
2005-06-01,SGP,SGD,Singapore,3.6,1.6607,2.16776058288673,33442.4975,3.11723238340892,-0.09209,-0.45698,-0.38951,0.01016,0.19837
